date,Region,"Case per 100,000"
2020-09-22,Bangsamoro Region,54.0
2020-09-23,Bangsamoro Region,12.0
2020-09-24,Bangsamoro Region,25.0
2020-09-25,Bangsamoro Region,35.0
2020-09-26,Bangsamoro Region,54.0
2020-09-27,Bangsamoro Region,44.0
2020-09-28,Bangsamoro Region,24.0
2020-09-29,Bangsamoro Region,20.0
2020-09-30,Bangsamoro Region,43.0
2020-10-01,Bangsamoro Region,36.0
2020-10-02,Bangsamoro Region,35.0
2020-10-03,Bangsamoro Region,19.0
2020-10-04,Bangsamoro Region,16.0
2020-09-19,Bangsamoro Region,36.0
2020-10-05,Bangsamoro Region,10.0
2020-10-07,Bangsamoro Region,27.0
2020-10-08,Bangsamoro Region,62.0
2020-10-09,Bangsamoro Region,23.0
2020-10-10,Bangsamoro Region,43.0
2020-10-11,Bangsamoro Region,39.0
2020-10-12,Bangsamoro Region,41.0
2020-10-13,Bangsamoro Region,18.0
2020-10-14,Bangsamoro Region,35.0
2020-10-15,Bangsamoro Region,37.0
2020-10-16,Bangsamoro Region,31.0
